video_id,title,description,published_at,channel_id,channel_title,category_id,tags,duration,definition,caption,view_count,like_count,dislike_count,favorite_count,comment_count
HAMmbft41Uc,THE VIKTOR REWORK IS HERE AND IT'S THE BEST OF ALL-TIME! (BRAND NEW ULTIMATE),THE VIKTOR REWORK IS HERE AND IT'S THE BEST OF ALL-TIME! (BRAND NEW ULTIMATE),2024-11-26T22:18:23Z,UCpUS8oR-IJSP3gFYrGAWEuQ,TC Zwag,20,[],PT32M53S,hd,false,321481,8457,0,0,577
B9RDf-1yT8A,"Cleetus McFarland's ""Mullet"" is HERE! What's the Plan?","Cleetus McFarland's ""Mullet"" is HERE! What's the Plan?",2024-11-26T19:30:04Z,UCn4Sml6YOxXxRC94qPXw5Zw,CJ Race Cars,2,"['ProMod', 'RVW', 'Pro275', 'Drag Car', 'Chassis Builder', 'Race Car Builder', 'Race Cars', 'Drag Cars', 'Drag Racing', 'Chassis Shop', 'N/T', 'N/T Racing', 'No Prep Racing', 'No Prep', 'NPK', 'Street Outlaws', 'Murder Nova', 'Daddy Dave', 'CJRC', 'CJ Race Cars', 'CJ Racecars', 'Bradenton Motorsports Park', 'Orlando Speedway', 'South Georgia Motorsports Park']",PT16M6S,hd,false,322700,25193,0,0,2641
7SK-lbMFqYI,Sounds From The Sideline: #DALvsWAS | Dallas Cowboys 2024,Sounds From The Sideline: #DALvsWAS | Dallas Cowboys 2024,2024-11-27T00:42:24Z,UCC0BPKJxAyxjQoRTYbpW0FQ,Dallas Cowboys,17,"['dallas cowboys', 'sounds from the sideline dallas cowboys', 'cowboys', 'micah parsons', 'cowboys sounds from the sideline', 'micah parsons highlights', 'trevon diggs', 'ceedee lamb', ""dallas cowboys mic'd up"", 'sounds of the sideline cowboys', 'cowboys sound', 'cowboys break', 'talkin cowboys', 'dallas cowboys highlights', 'hangin with the boys', 'dallas vs. philadelphia', 'cowboys eagles', 'cowboys nation', 'go cowboys', 'how bout them cowboys', 'somos cowboys', 'mick shots', 'players lounge', 'dak', 'CeeDee', 'DaRon Bland']",PT7M45S,hd,false,62647,2305,0,0,295
2HVdUoqU-ts,Man. City vs. Feyenoord: Extended Highlights | UCL League Phase MD 5 | CBS Sports Golazo,Man. City vs. Feyenoord: Extended Highlights | UCL League Phase MD 5 | CBS Sports Golazo,2024-11-26T22:38:56Z,UCET00YnetHT7tOpu12v8jxg,CBS Sports Golazo,17,"['Champions League', 'Europa League', 'Soccer', 'UEFA', 'UCL', 'European Soccer', 'European Football', 'European Futbol', 'UEL', 'UCL Highlights', 'Champions League Highlights', 'Football', 'CBS Golazo', 'CBS', 'Micah Richards', 'Jamie Carragher', 'Thierry Henry', 'CBS Studio']",PT11M13S,hd,false,819379,10269,0,0,1653
83chO9NuWAg,Total War: WARHAMMER III - Omens of Destruction Announce Trailer,Total War: WARHAMMER III - Omens of Destruction Announce Trailer,2024-11-26T14:59:00Z,UCugJq15BiB-c1NDYPHiznWQ,Total War,20,"['Total War', 'warhammer', 'total war warhammer', 'rome total war', 'warhammer 2 total war', 'total war rome 2', 'medieval total war', 'medieval total war 2', 'three kingdoms total war', 'total war gameplay', 'shogun 2 total war', 'total war saga', 'total war warhammer gameplay', '3 kingdoms', 'new', 'gameplay', 'trailer', 'warhammer 3', 'total war warhammer 3', 'Total War PHARAOH', 'pharaoh', 'total war deep dive', 'deep dive', 'gameplay showcase', 'total war gameplay showcase']",PT1M56S,hd,true,357427,20250,0,0,1774
eHRsEZjdCjI,The Chosen: Last Supper Teaser (Season 5),The Chosen: Last Supper Teaser (Season 5),2024-11-25T15:00:06Z,UCBXOFnNTULFaAnj24PAeblg,The Chosen,24,"['the chosen', 'the chosen tv series', 'bingeJesus', 'GetUsedtoDifferent', 'Faith-based', 'Bible show', 'Christianity', 'Jesus show', 'what to watch', 'tv show', 'bible series', 'new testament', 'new testament series', 'chosen official trailer', 'chosen teaser', '12 apostles', 'last supper', 'cleansing the temple', 'betrayal of jesus', 'judas', 'judas iscariot', 'official trailer', 'official teaser', 'jesus christ', 'holy week', 'triumphal entry', 'the chosen season 5', 'the chosen last supper', 'season 5 trailer', 'season 5 teaser']",PT1M9S,hd,true,921033,56861,0,0,5128
9SsSl3qoOSw,Jorsshh x Fuerza Regida - ROSONES (VIDEO OFICIAL),Jorsshh x Fuerza Regida - ROSONES (VIDEO OFICIAL),2024-11-26T00:03:09Z,UCFLI6KAjrKRtydD7KqiYvAw,FUERZA REGIDA,10,"['fuerza regida', 'jop', 'music video', 'NEL', 'fuerza regida nel', 'pero nel', 'video oficial', 'Jesus Ortiz paz', 'secreto victoria', 'PERO NO TE ENAMORES', 'pero no te enamores tour', 'fuerza regida pero no te enamores', 'die with a smile', 'I can do it with a broken heart', 'not like us', 'si no quieres no', 'Luis r conriquez', 'peso pluma', 'la patrulla', 'gata only', 'tito doble p', 'incomodo', 'ROSONES', 'JORSSHH', 'DOLCEGABANA']",PT3M20S,hd,false,897159,34342,0,0,2139
cmCfG7nkbpo,"Best Rug Art Wins $1,000!","Best Rug Art Wins $1,000!",2024-11-24T22:11:15Z,UClQ3NafOy_42dJ0toK3QUKw,Stay Wild,24,"['Ben Azelart', 'Stay Wild', 'Stay Wild Vlogs', 'Cam Huff', 'Stay Wild Reacts', 'Stay Wild Gaming']",PT1H7M31S,hd,false,10337507,166578,0,0,15706
QZuIRF0wrhs,Testing Roblox's Most TERRIFYING Myths..,Testing Roblox's Most TERRIFYING Myths..,2024-11-25T18:51:39Z,UCsPMNatXCwqyUuJilBT73jg,CaylusBlox,20,"['caylusblox', 'caylus roblox', 'caylus', 'caylus gaming', 'caylus infinite', 'infinite lists', 'calus', 'callus', 'calis', 'roblox', ""Testing Roblox's Most TERRIFYING Myths.."", 'caylus myths', 'testing myths', 'caylus testing myths', 'testing roblox myths', 'testing scary myths', 'testing robloxs scariest myths']",PT18M36S,hd,false,716745,19701,0,0,1106
DlMLfxxvKD8,The Online Gambling Epidemic,The Online Gambling Epidemic,2024-11-24T20:39:52Z,UCTSRIY3GLFYIpkR2QwyeklA,Drew Gooden,23,"['drew gooden', 'comedy', 'commentary', 'reaction', 'vine', 'drew gooden vine', 'road work ahead guy', 'parody', 'rant', 'cringe', 'xqc', 'adin ross', 'kick', 'gambling streams', 'twitch', 'togi']",PT28M4S,hd,true,2959121,190369,0,0,12937
